Time (s),Pressure (mmHg)
4.350,142.642
4.360,142.844
4.370,143.263
4.380,143.698
4.390,144.003
4.400,144.280
4.410,144.631
4.420,144.976
4.430,145.331
4.440,145.738
4.450,145.991
4.460,146.351
4.470,146.697
4.480,146.938
4.490,147.286
4.500,147.668
4.510,147.991
4.520,148.279
4.530,148.648
4.540,148.871
4.550,149.251
4.560,149.617
4.570,149.888
4.580,150.244
4.590,150.595
4.600,150.871
4.610,151.162
4.620,151.510
4.630,151.858
4.640,152.079
4.650,152.392
4.660,152.693
4.670,153.003
4.680,153.340
4.690,153.621
4.700,153.895
4.710,154.239
4.720,154.492
4.730,154.819
4.740,155.114
4.750,155.327
4.760,155.652
4.770,155.994
4.780,156.207
4.790,156.595
4.800,156.810
4.810,157.023
4.820,157.291
4.830,157.606
4.840,157.998
4.850,158.187
4.860,158.448
4.870,158.751
4.880,159.072
4.890,159.251
4.900,159.505
4.910,159.773
4.920,160.113
4.930,160.241
4.940,160.574
4.950,160.717
4.960,161.065
4.970,161.342
4.980,161.529
4.990,161.787
5.000,162.041
5.010,162.310
5.020,162.467
5.030,162.536
5.040,163.086
5.050,163.210
5.060,163.510
5.070,163.720
5.080,163.973
5.090,164.169
5.100,164.361
5.110,164.528
5.120,164.811
5.130,165.032
5.140,165.207
5.150,165.443
5.160,165.635
5.170,165.862
5.180,166.079
5.190,166.338
5.200,166.571
5.210,166.636
5.220,166.861
5.230,167.171
5.240,167.339
5.250,167.459
5.260,167.687
5.270,167.829
5.280,168.098
5.290,168.247
5.300,168.347
5.310,168.500
5.320,168.802
5.330,168.963
5.340,169.095
5.350,169.224
5.360,169.363
5.370,169.630
5.380,169.719
5.390,169.947
5.400,170.113
5.410,170.310
5.420,170.421
5.430,170.578
5.440,170.744
5.450,170.762
5.460,171.097
5.470,171.053
5.480,171.306
5.490,171.380
5.500,171.631
5.510,171.715
5.520,171.784
5.530,171.902
5.540,171.973
5.550,172.142
5.560,172.337
5.570,172.370
5.580,172.495
5.590,172.678
5.600,172.743
5.610,172.809
5.620,173.013
5.630,173.096
5.640,173.153
5.650,173.313
5.660,173.368
5.670,173.410
5.680,173.584
5.690,173.617
5.700,173.663
5.710,173.820
5.720,173.953
5.730,174.003
5.740,174.057
5.750,174.074
5.760,174.209
5.770,174.208
5.780,174.356
5.790,174.424
5.800,174.422
5.810,174.503
5.820,174.552
5.830,174.637
5.840,174.594
5.850,174.688
5.860,174.794
5.870,174.646
5.880,174.801
5.890,174.791
5.900,174.918
5.910,174.913
5.920,174.849
5.930,174.908
5.940,174.973
5.950,175.007
5.960,175.011
5.970,174.953
5.980,174.990
5.990,174.942
6.000,174.998
6.010,174.840
6.020,174.903
6.030,174.814
6.040,174.702
6.050,174.639
6.060,174.546
6.070,174.506
6.080,174.372
6.090,174.361
6.100,174.367
6.110,174.353
6.120,174.219
6.130,174.126
6.140,173.969
6.150,174.001
6.160,173.920
6.170,173.851
6.180,173.782
6.190,173.679
6.200,173.690
6.210,173.540
6.220,173.482
6.230,173.351
6.240,173.333
6.250,173.309
6.260,173.279
6.270,173.184
6.280,173.130
6.290,173.098
6.300,172.877
6.310,172.841
6.320,172.829
6.330,172.786
6.340,172.737
6.350,172.610
6.360,172.574
6.370,172.612
6.380,172.444
6.390,172.332
6.400,172.371
6.410,172.160
6.420,172.102
6.430,172.085
6.440,172.086
6.450,171.887
6.460,171.923
6.470,171.935
6.480,171.746
6.490,171.700
6.500,171.585
6.510,171.597
6.520,171.511
6.530,171.455
6.540,171.342
6.550,171.296
6.560,171.212
6.570,171.145
6.580,171.114
6.590,171.002
6.600,171.040
6.610,170.872
6.620,170.839
6.630,170.728
6.640,170.693
6.650,170.578
6.660,170.498
6.670,170.515
6.680,170.358
6.690,170.365
6.700,170.181
6.710,170.196
6.720,170.114
6.730,170.044
6.740,169.995
6.750,169.914
6.760,169.908
6.770,169.864
6.780,169.684
6.790,169.605
6.800,169.578
6.810,169.544
6.820,169.461
6.830,169.413
6.840,169.266
6.850,169.282
6.860,169.227
6.870,169.063
6.880,169.201
6.890,168.947
6.900,169.017
6.910,168.910
6.920,168.745
6.930,168.676
6.940,168.611
6.950,168.620
6.960,168.411
6.970,168.485
6.980,168.405
6.990,168.354
7.000,168.253
7.010,168.093
7.020,168.043
7.030,168.081
7.040,167.934
7.050,168.006
7.060,167.882
7.070,167.813
7.080,167.752
7.090,167.752
7.100,167.556
7.110,167.538
7.120,167.486
7.130,167.358
7.140,167.373
7.150,167.213
7.160,167.186
7.170,167.147
7.180,167.078
7.190,166.929
7.200,166.928
7.210,166.801
7.220,166.838
7.230,166.658
7.240,166.647
7.250,166.486
7.260,166.562
7.270,166.373
7.280,166.359
7.290,166.320
7.300,166.189
7.310,166.200
7.320,166.039
7.330,165.989
7.340,166.022
7.350,165.898
7.360,165.902
7.370,165.738
7.380,165.695
7.390,165.633
7.400,165.577
7.410,165.472
7.420,165.424
7.430,165.301
7.440,165.351
7.450,165.228
7.460,165.098
7.470,165.158
7.480,164.988
7.490,164.948
7.500,164.906
7.510,164.829
7.520,164.690
7.530,164.665
7.540,164.525
7.550,164.588
7.560,164.442
7.570,164.332
7.580,164.360
7.590,164.170
7.600,164.235
7.610,164.170
7.620,164.010
7.630,163.951
7.640,163.992
7.650,163.952
7.660,163.826
7.670,163.692
7.680,163.640
7.690,163.664
7.700,163.592
7.710,163.450
7.720,163.467
7.730,163.323
7.740,163.322
7.750,163.244
7.760,163.149
7.770,163.035
7.780,163.098
7.790,162.900
7.800,162.906
7.810,162.836
7.820,162.727
7.830,162.645
7.840,162.582
7.850,162.488
7.860,162.549
7.870,162.436
7.880,162.312
7.890,162.122
7.900,162.126
7.910,162.107
7.920,162.007
7.930,161.998
7.940,161.884
7.950,161.764
7.960,161.809
7.970,161.807
7.980,161.683
7.990,161.675
8.000,161.508
8.010,161.491
8.020,161.377
8.030,161.336
8.040,161.198
8.050,161.094
8.060,161.205
8.070,161.047
8.080,160.910
8.090,160.998
8.100,160.729
8.110,160.748
8.120,160.593
8.130,160.649
8.140,160.551
8.150,160.533
8.160,160.400
8.170,160.361
8.180,160.260
8.190,160.123
8.200,160.145
8.210,160.115
8.220,160.060
8.230,159.858
8.240,159.874
8.250,159.861
8.260,159.746
8.270,159.562
8.280,159.668
8.290,159.598
8.300,159.408
8.310,159.264
8.320,159.248
8.330,159.347
8.340,159.238
8.350,159.207
8.360,159.084
8.370,159.071
8.380,158.940
8.390,158.979
8.400,158.843
8.410,158.684
8.420,158.717
8.430,158.634
8.440,158.574
8.450,158.464
8.460,158.419
8.470,158.323
8.480,158.204
8.490,158.225
8.500,158.112
8.510,158.061
8.520,157.958
8.530,157.943
8.540,157.832
8.550,157.709
8.560,157.686
8.570,157.702
8.580,157.439
8.590,157.521
8.600,157.390
8.610,157.358
8.620,157.314
8.630,157.301
8.640,157.124
8.650,157.034
8.660,156.910
8.670,156.919
8.680,156.924
8.690,156.894
8.700,156.834
8.710,156.734
8.720,156.737
8.730,156.494
8.740,156.546
8.750,156.434
8.760,156.314
8.770,156.221
8.780,156.206
8.790,156.216
8.800,156.115
8.810,155.999
8.820,155.876
8.830,155.865
8.840,155.810
8.850,155.678
8.860,155.667
8.870,155.578
8.880,155.591
8.890,155.407
8.900,155.506
8.910,155.284
8.920,155.289
8.930,155.175
8.940,155.164
8.950,155.084
8.960,155.115
8.970,154.861
8.980,154.734
8.990,154.883
9.000,154.690
9.010,154.701
9.020,154.692
9.030,154.553
9.040,154.419
9.050,154.427
9.060,154.326
9.070,154.283
9.080,154.139
9.090,154.093
9.100,154.028
9.110,154.011
9.120,153.957
9.130,153.796
9.140,153.890
9.150,153.662
9.160,153.618
9.170,153.517
9.180,153.439
9.190,153.408
9.200,153.410
9.210,153.368
9.220,153.316
9.230,153.176
9.240,153.111
9.250,153.147
9.260,152.974
9.270,152.965
9.280,152.876
9.290,152.831
9.300,152.822
9.310,152.676
9.320,152.705
9.330,152.603
9.340,152.510
9.350,152.378
9.360,152.307
9.370,152.298
9.380,152.181
9.390,152.095
9.400,151.989
9.410,151.900
9.420,151.884
9.430,151.809
9.440,151.800
9.450,151.692
9.460,151.612
9.470,151.557
9.480,151.499
9.490,151.449
9.500,151.299
9.510,151.329
9.520,151.176
9.530,151.172
9.540,151.158
9.550,150.932
9.560,150.898
9.570,150.806
9.580,150.765
9.590,150.776
9.600,150.724
9.610,150.578
9.620,150.557
9.630,150.463
9.640,150.534
9.650,150.325
9.660,150.314
9.670,150.176
9.680,150.157
9.690,150.055
9.700,149.929
9.710,149.939
9.720,149.762
9.730,149.872
9.740,149.743
9.750,149.645
9.760,149.589
9.770,149.479
9.780,149.528
9.790,149.358
9.800,149.302
9.810,149.320
9.820,149.159
9.830,149.169
9.840,149.094
9.850,148.967
9.860,148.887
9.870,148.842
9.880,148.757
9.890,148.690
9.900,148.580
9.910,148.575
9.920,148.513
9.930,148.492
9.940,148.349
9.950,148.261
9.960,148.159
9.970,148.168
9.980,148.079
9.990,148.035
10.000,147.893
10.010,147.972
10.020,147.932
10.030,147.768
10.040,147.745
10.050,147.636
10.060,147.538
10.070,147.500
10.080,147.466
10.090,147.423
10.100,147.421
10.110,147.330
10.120,147.265
10.130,147.246
10.140,147.250
10.150,147.041
10.160,147.055
10.170,147.010
10.180,146.767
10.190,146.764
10.200,146.621
10.210,146.609
10.220,146.486
10.230,146.426
10.240,146.265
10.250,146.256
10.260,146.237
10.270,146.132
10.280,146.131
10.290,146.091
10.300,145.976
10.310,145.859
10.320,145.851
10.330,145.744
10.340,145.761
10.350,145.566
10.360,145.564
10.370,145.468
10.380,145.445
10.390,145.371
10.400,145.276
10.410,145.204
10.420,145.149
10.430,145.142
10.440,145.086
10.450,144.817
10.460,144.823
10.470,144.788
10.480,144.701
10.490,144.603
10.500,144.604
10.510,144.600
10.520,144.436
10.530,144.363
10.540,144.382
10.550,144.254
10.560,144.174
10.570,143.992
10.580,144.034
10.590,143.917
10.600,143.867
10.610,143.826
10.620,143.731
10.630,143.661
10.640,143.503
10.650,143.557
10.660,143.522
10.670,143.377
10.680,143.402
10.690,143.263
10.700,143.271
10.710,143.187
10.720,143.067
10.730,143.008
10.740,142.962
10.750,142.913
10.760,142.797
10.770,142.757
10.780,142.621
10.790,142.596
10.800,142.554
10.810,142.452
10.820,142.371
10.830,142.247
10.840,142.214
10.850,142.159
10.860,142.139
10.870,142.116
10.880,142.026
10.890,142.032
10.900,142.029
10.910,141.874
10.920,141.925
10.930,141.885
10.940,141.926
10.950,141.761
10.960,141.743
10.970,141.650
10.980,141.564
10.990,141.499
11.000,141.364
11.010,141.362
11.020,141.247
11.030,141.104
11.040,140.981
11.050,140.973
11.060,140.778
11.070,140.659
11.080,140.668
11.090,140.563
11.100,140.467
11.110,140.443
11.120,140.421
11.130,140.247
11.140,140.328
11.150,140.176
11.160,140.145
11.170,140.123
11.180,140.033
11.190,139.989
11.200,139.896
11.210,139.880
11.220,139.805
11.230,139.784
11.240,139.728
11.250,139.541
11.260,139.458
11.270,139.382
11.280,139.435
11.290,139.155
11.300,139.261
11.310,139.095
11.320,139.078
11.330,138.961
11.340,138.850
11.350,138.780
11.360,138.757
11.370,138.719
11.380,138.503
11.390,138.522
11.400,138.471
11.410,138.372
11.420,138.317
11.430,138.275
11.440,138.123
11.450,138.084
11.460,137.974
11.470,137.834
11.480,137.857
11.490,137.808
11.500,137.678
11.510,137.712
11.520,137.542
11.530,137.503
11.540,137.484
11.550,137.421
11.560,137.282
11.570,137.255
11.580,137.307
11.590,137.062
11.600,136.985
11.610,137.029
11.620,136.837
11.630,136.793
11.640,136.775
11.650,136.704
11.660,136.650
11.670,136.608
11.680,136.591
11.690,136.486
11.700,136.543
11.710,136.419
11.720,136.431
11.730,136.445
11.740,136.350
11.750,136.458
11.760,136.424
11.770,136.386
11.780,136.379
11.790,136.299
11.800,136.304
11.810,136.141
11.820,136.081
11.830,135.928
11.840,135.772
11.850,135.614
11.860,135.474
11.870,135.301
11.880,135.292
11.890,135.169
11.900,135.081
11.910,135.036
11.920,134.949
11.930,134.895
11.940,134.798
11.950,134.815
11.960,134.730
11.970,134.665
11.980,134.662
11.990,134.566
12.000,134.514
12.010,134.442
12.020,134.266
12.030,134.351
12.040,134.380
12.050,134.210
12.060,134.097
12.070,134.084
12.080,134.026
12.090,133.948
12.100,133.764
12.110,133.713
12.120,133.662
12.130,133.574
12.140,133.502
12.150,133.239
12.160,133.334
12.170,133.215
12.180,132.994
12.190,133.032
12.200,132.922
12.210,132.888
12.220,132.827
12.230,132.713
12.240,132.653
12.250,132.540
12.260,132.461
12.270,132.381
12.280,132.442
12.290,132.292
12.300,132.252
12.310,132.146
12.320,132.073
12.330,131.970
12.340,131.954
12.350,131.837
12.360,131.766
12.370,131.804
12.380,131.774
12.390,131.703
12.400,131.470
12.410,131.522
12.420,131.365
12.430,131.309
12.440,131.361
12.450,131.144
12.460,131.123
12.470,131.089
12.480,131.000
12.490,130.896
12.500,130.957
12.510,130.888
12.520,130.751
12.530,130.823
12.540,130.864
12.550,130.814
12.560,130.902
12.570,130.867
12.580,130.866
12.590,130.951
12.600,130.980
12.610,130.922
12.620,131.032
12.630,130.884
12.640,130.769
12.650,130.691
12.660,130.531
12.670,130.357
12.680,130.113
12.690,130.011
12.700,129.824
12.710,129.640
12.720,129.558
12.730,129.478
12.740,129.441
12.750,129.186
12.760,129.209
12.770,129.203
12.780,129.122
12.790,129.137
12.800,129.050
12.810,129.094
12.820,128.793
12.830,128.967
12.840,128.777
12.850,128.731
12.860,128.798
12.870,128.665
12.880,128.626
12.890,128.581
12.900,128.460
12.910,128.355
12.920,128.239
12.930,128.185
12.940,128.142
12.950,127.993
12.960,127.960
12.970,127.811
12.980,127.685
12.990,127.599
13.000,127.523
13.010,127.387
13.020,127.370
13.030,127.295
13.040,127.181
13.050,127.147
13.060,126.986
13.070,126.948
13.080,126.810
13.090,126.739
13.100,126.751
13.110,126.597
13.120,126.607
13.130,126.517
13.140,126.363
13.150,126.453
13.160,126.250
13.170,126.269
13.180,126.145
13.190,126.151
13.200,125.997
13.210,126.045
13.220,125.895
13.230,125.821
13.240,125.812
13.250,125.721
13.260,125.608
13.270,125.567
13.280,125.475
13.290,125.336
13.300,125.307
13.310,125.179
13.320,125.229
13.330,125.135
13.340,125.112
13.350,125.068
13.360,125.184
13.370,125.017
13.380,125.228
13.390,125.156
13.400,125.314
13.410,125.439
13.420,125.559
13.430,125.527
13.440,125.650
13.450,125.571
13.460,125.679
13.470,125.609
13.480,125.364
13.490,125.125
13.500,124.984
13.510,124.796
13.520,124.545
13.530,124.305
13.540,124.158
13.550,123.926
13.560,123.720
13.570,123.684
13.580,123.632
13.590,123.527
13.600,123.518
13.610,123.405
13.620,123.425
13.630,123.362
13.640,123.345
13.650,123.241
13.660,123.240
13.670,123.188
13.680,123.129
13.690,123.209
13.700,123.080
13.710,123.078
13.720,122.821
13.730,122.841
13.740,122.746
13.750,122.682
13.760,122.572
13.770,122.550
13.780,122.360
13.790,122.320
13.800,122.034
13.810,122.040
13.820,121.953
13.830,121.794
13.840,121.732
13.850,121.559
13.860,121.388
13.870,121.363
13.880,121.253
13.890,121.156
13.900,121.211
13.910,121.074
13.920,121.040
13.930,120.942
13.940,120.823
13.950,120.762
13.960,120.771
13.970,120.707
13.980,120.527
13.990,120.561
14.000,120.516
14.010,120.548
14.020,120.418
14.030,120.248
14.040,120.258
14.050,120.151
14.060,120.117
14.070,120.023
14.080,120.050
14.090,119.717
14.100,119.667
14.110,119.702
14.120,119.647
14.130,119.564
14.140,119.497
14.150,119.388
14.160,119.358
14.170,119.292
14.180,119.431
14.190,119.358
14.200,119.442
14.210,119.364
14.220,119.658
14.230,119.850
14.240,119.871
14.250,120.100
14.260,120.162
14.270,120.348
14.280,120.399
14.290,120.366
14.300,120.275
14.310,120.178
14.320,119.877
14.330,119.626
14.340,119.451
14.350,119.098
14.360,118.807
14.370,118.636
14.380,118.294
14.390,118.249
14.400,118.044
14.410,117.964
14.420,117.859
14.430,117.810
14.440,117.685
14.450,117.673
14.460,117.653
14.470,117.755
14.480,117.616
14.490,117.564
14.500,117.579
14.510,117.685
14.520,117.569
14.530,117.505
14.540,117.446
14.550,117.366
14.560,117.352
14.570,117.211
14.580,117.160
14.590,117.035
14.600,116.926
14.610,116.702
14.620,116.680
14.630,116.502
14.640,116.344
14.650,116.227
14.660,116.135
14.670,116.047
14.680,115.945
14.690,115.836
14.700,115.764
14.710,115.596
14.720,115.503
14.730,115.440
14.740,115.364
14.750,115.222
14.760,115.241
14.770,115.170
14.780,115.135
14.790,114.980
14.800,114.931
14.810,114.835
14.820,114.739
14.830,114.660
14.840,114.611
14.850,114.597
14.860,114.603
14.870,114.377
14.880,114.385
14.890,114.353
14.900,114.206
14.910,114.149
14.920,114.062
14.930,114.106
14.940,113.939
14.950,113.895
14.960,113.845
14.970,113.637
14.980,113.681
14.990,113.702
15.000,113.601
15.010,113.593
15.020,113.614
15.030,113.848
15.040,113.834
15.050,113.960
15.060,114.156
15.070,114.405
15.080,114.629
15.090,114.924
15.100,114.972
15.110,115.149
15.120,115.182
15.130,115.067
15.140,114.923
15.150,114.655
15.160,114.449
15.170,114.044
15.180,113.636
15.190,113.377
15.200,112.947
15.210,112.701
15.220,112.560
15.230,112.341
15.240,112.214
15.250,112.122
15.260,112.081
15.270,112.109
15.280,111.982
15.290,112.006
15.300,111.964
15.310,112.005
15.320,111.981
15.330,111.955
15.340,111.947
15.350,112.001
15.360,111.913
15.370,111.898
15.380,111.836
15.390,111.643
15.400,111.689
15.410,111.545
15.420,111.367
15.430,111.334
15.440,111.091
15.450,111.002
15.460,110.740
15.470,110.732
15.480,110.557
15.490,110.362
15.500,110.189
15.510,110.254
15.520,110.009
15.530,109.898
15.540,109.917
15.550,109.749
15.560,109.613
15.570,109.536
15.580,109.474
15.590,109.430
15.600,109.348
15.610,109.308
15.620,109.200
15.630,109.146
15.640,109.027
15.650,108.925
15.660,108.933
15.670,108.908
15.680,108.772
15.690,108.743
15.700,108.699
15.710,108.578
15.720,108.586
15.730,108.446
15.740,108.393
15.750,108.289
15.760,108.253
15.770,108.184
15.780,108.142
15.790,107.998
15.800,107.971
15.810,107.867
15.820,107.813
15.830,107.731
15.840,107.863
15.850,107.877
15.860,108.032
15.870,108.088
15.880,108.339
15.890,108.554
15.900,108.796
15.910,109.057
15.920,109.404
15.930,109.612
15.940,109.878
15.950,109.924
15.960,109.950
15.970,109.807
15.980,109.571
15.990,109.179
16.000,108.849
16.010,108.256
16.020,107.936
16.030,107.532
16.040,107.207
16.050,106.837
16.060,106.733
16.070,106.501
16.080,106.434
16.090,106.416
16.100,106.335
16.110,106.255
16.120,106.300
16.130,106.297
16.140,106.277
16.150,106.417
16.160,106.370
16.170,106.396
16.180,106.433
16.190,106.394
16.200,106.320
16.210,106.284
16.220,106.144
16.230,105.990
16.240,105.981
16.250,105.754
16.260,105.682
16.270,105.515
16.280,105.348
16.290,105.135
16.300,105.068
16.310,104.933
16.320,104.720
16.330,104.673
16.340,104.412
16.350,104.340
16.360,104.201
16.370,104.054
16.380,104.067
16.390,103.946
16.400,103.793
16.410,103.711
16.420,103.680
16.430,103.588
16.440,103.583
16.450,103.533
16.460,103.347
16.470,103.286
16.480,103.291
16.490,103.169
16.500,103.148
16.510,103.022
16.520,102.881
16.530,102.947
16.540,102.817
16.550,102.654
16.560,102.725
16.570,102.675
16.580,102.562
16.590,102.537
16.600,102.432
16.610,102.375
16.620,102.299
16.630,102.319
16.640,102.180
16.650,102.030
16.660,101.968
16.670,102.161
16.680,102.256
16.690,102.299
16.700,102.372
16.710,102.671
16.720,102.842
16.730,103.182
16.740,103.481
16.750,103.872
16.760,104.159
16.770,104.507
16.780,104.646
16.790,104.640
16.800,104.500
16.810,104.247
16.820,103.894
16.830,103.463
16.840,102.960
16.850,102.575
16.860,102.056
16.870,101.694
16.880,101.472
16.890,101.107
16.900,100.898
16.910,100.749
16.920,100.698
16.930,100.685
16.940,100.578
16.950,100.627
16.960,100.666
16.970,100.696
16.980,100.719
16.990,100.772
17.000,100.786
17.010,100.783
17.020,100.782
17.030,100.679
17.040,100.645
17.050,100.588
17.060,100.522
17.070,100.348
17.080,100.191
17.090,100.088
17.100,99.979
17.110,99.724
17.120,99.634
17.130,99.393
17.140,99.252
17.150,99.113
17.160,98.971
17.170,98.777
17.180,98.611
17.190,98.577
17.200,98.333
17.210,98.236
17.220,98.244
17.230,98.198
17.240,98.039
17.250,97.979
17.260,97.879
17.270,97.808
17.280,97.809
17.290,97.714
17.300,97.702
17.310,97.550
17.320,97.503
17.330,97.361
17.340,97.398
17.350,97.254
17.360,97.112
17.370,97.225
17.380,97.086
17.390,96.896
17.400,96.864
17.410,96.962
17.420,96.777
17.430,96.764
17.440,96.630
17.450,96.600
